,Seb,Jos,Coen,Stijn,Merle,Twan,,,,Gemiddelde van film,,IMDB Score,Difference
Gemiddelde beoordeling,7.64,7.59,7.12,7.63,7.88,7.51,,,,,7.61,7.73,-0.12
Inception,8,8.25,,8.3,8,,,,,Inception,8.14,8.8,-0.66
Good Will Hunting,9,9,,9.1,,,,,,Good Will Hunting,9.03,8.3,0.73
Cabin in the Woods,7,7,6.5,4.6,8.3,,,,,Cabin in the Woods,6.68,7,-0.32
Independence Day,7,7.2,7,3.7,6.9,,,,,Independence Day,6.36,7,-0.64
Spotlight,10,8.8,8.5,7.7,,,,,,Spotlight,8.75,8.1,0.65
Der Untergang,7.5,7.5,,7.3,7.3,,,,,Der Untergang,7.40,8.2,-0.80
V For Vendetta,8.5,9,,9.08,,,,,,V For Vendetta,8.86,8.2,0.66
Cast Away,7,7.8,6.8,7.56,7.03,,,,,Cast Away,7.24,7.8,-0.56
Tombstone,7,6.8,6.4,6.63,,,,,,Tombstone,6.71,7.8,-1.09
John Wick,8,8,8.2,8.49,8.65,,,,,John Wick,8.27,7.4,0.87
John Wick: Chapter 2,7,7.5,7.4,7.29,8.02,,,,,John Wick: Chapter 2,7.44,7.5,-0.06
John Wick: Chapter 3: Parabellum,8,7.2,7.4,7.31,8.99,,,,,John Wick: Chapter 3: Parabellum,7.78,7.4,0.38
Das Boot Director's Cut,8.5,8,7.4,6.53,,,,,,Das Boot Director's Cut,7.61,8.3,-0.69
Gangs of New York,7.5,7.9,,7.76,,,,,,Gangs of New York,7.72,7.5,0.22
Tropic Thunder,9.5,9,8.4,9.78,8.01,,,,,Tropic Thunder,8.94,7,1.94
The Dark Knight,8.5,9.5,9,9.12,8.38,,,,,The Dark Knight,8.90,9,-0.10
Leon: The Professional,7,7,6.5,10,,,,,,Leon: The Professional,7.63,8.5,-0.88
Whiplash,8,8.5,,9.21,7.68,,,,,Whiplash,8.35,8.5,-0.15
Rush Hour,5,4.5,6.5,7.78,,,,,,Rush Hour,5.95,7,-1.06
Spider-Man: Into the Spider-Verse,9,9,9.6,8.87,,,,,,Spider-Man: Into the Spider-Verse,9.12,8.4,0.72
Ford v Ferrari,8,7.5,,7.38,,,,,,Ford v Ferrari,7.63,8.1,-0.47
Team America World Police,6.5,7.2,8,10,,,,,,Team America World Police,7.93,7.2,0.73
The Founder,7.5,8,,8.72,8.34,,,,,The Founder,8.14,7.2,0.94
Airplane!,8,8,,10,8.69,,,,,Airplane!,8.67,7.7,0.97
Kill Bill Vol 1,7.5,9.6,,9.49,9.33,,,,,Kill Bill Vol 1,8.98,8.1,0.88
Kill Bill Vol 2,7,7,6.6,7.91,9.01,,,,,Kill Bill Vol 2,7.50,8,-0.50
Karate Kid,7.5,7.3,,8.12,,,,,,Karate Kid,7.64,7.3,0.34
The Incredibles,8,7.8,7.6,8.01,,,,,,The Incredibles,7.85,8,-0.15
Schindler's List,10,10,8.5,8.17,7.91,,,,,Schindler's List,8.92,8.9,0.02
Hero,3,7.2,5.6,7.29,5.91,,,,,Hero,5.80,7.9,-2.10
Scott Pilgrim vs the World,8.5,9,8.5,10,9.08,,,,,Scott Pilgrim vs the World,9.02,7.5,1.52
Gladiator,7,6.8,,6.32,6.89,,,,,Gladiator,6.75,8.5,-1.75
Citizen Kane,8.5,8,,5.13,8.76,,,,,Citizen Kane,7.60,8.3,-0.70
The Hunt for Red October,8.5,6.7,,6.52,,,,,,The Hunt for Red October,7.24,7.6,-0.36
A Few Good Men,8.5,8.3,8.1,8.73,8.67,,,,,A Few Good Men,8.46,7.7,0.76
American History X,9,8.6,,9.31,,,,,,American History X,8.97,8.5,0.47
Hot Fuzz,8,8.5,,8.87,,,,,,Hot Fuzz,8.46,7.8,0.66
2001: A Space Odyssey,7.5,7.9,,8.03,5.96,,,,,2001: A Space Odyssey,7.35,8.3,-0.95
The Thing,9,8.1,,8.08,,,,,,The Thing,8.39,8.1,0.29
Ghostbusters,9,8.4,,7.85,,,,,,Ghostbusters,8.42,7.8,0.62
Alien,8.5,8.6,,8.06,,,,,,Alien,8.39,8.4,-0.01
12 Years A Slave,9,9.3,8.4,9.46,,,,,,12 Years A Slave,9.04,8.1,0.94
Batman & Robin,2.5,1.5,1.8,2.56,2.69,,,,,Batman & Robin,2.21,3.1,-0.89
Creed,7,7,,6.52,,,,,,Creed,6.84,7.6,-0.76
The Deer Hunter,8,8.5,,7.83,8.67,,,,,The Deer Hunter,8.25,8.1,0.15
Oldboy,8.5,7.3,6,9.02,8.89,,,,,Oldboy,7.94,8.4,-0.46
American Beauty,8,7.8,8,7.09,7.92,,,,,American Beauty,7.76,8.3,-0.54
The Matrix,8.5,8.7,7.8,,8.15,,,,,The Matrix,8.29,8.7,-0.41
The Matrix Reloaded,7,7,6.1,7.01,6.49,,,,,The Matrix Reloaded,6.72,7.2,-0.48
The Big Lebowski,9,8.8,9.5,9.54,7.69,,,,,The Big Lebowski,8.91,8.1,0.81
Borat,7,7.6,8,10,8.49,,,,,Borat,8.22,7.3,0.92
The Lighthouse,8,8.2,,,,7.321,,,,The Lighthouse,7.84,7.5,0.34
Anchorman,8.5,7.7,7,7.52,7.75,7.658,,,,Anchorman,7.69,7.2,0.49
The Warriors,7,3.7,2.5,4.46,4.89,,,,,The Warriors,4.51,7.6,-3.09
Monty Python and the Holy Grail,8.5,9,7.6,10,6.55,,,,,Monty Python and the Holy Grail,8.33,8.2,0.13
Spider-Man: Far From Home,8,7.6,,,9.46,,,,,Spider-Man: Far From Home,8.35,7.4,0.95
Spider-Man: No Way Home,8.5,9,,7.12,8.78,,,,,Spider-Man: No Way Home,8.35,8.7,-0.35
The Prestige,9,8.1,,7.43,9.88,7.492,,,,The Prestige,8.38,8.5,-0.12
Ghandi,8,7.7,,7.12,,,,,,Ghandi,7.61,8,-0.39
Ocean's Eleven,7,6.7,7.2,8.38,7.09,,,,,Ocean's Eleven,7.27,7.7,-0.43
Ace Ventura: Pet Detective,4,4,4.2,4.73,,,,,,Ace Ventura: Pet Detective,4.23,6.9,-2.67
A Bridge Too Far,7.5,8.2,DNF,DNF,,8.618,,,,A Bridge Too Far,8.11,7.4,0.71
The Batman,8,7.5,,,,,,,,The Batman,7.75,8.5,-0.75
Tenacious D in the Pick of Destiny,6.5,6.2,,8.29,7.07,9.999,,,,Tenacious D in the Pick of Destiny,7.61,6.8,0.81
Django: Unchained,9,8.6,,9.16,,,,,,Django: Unchained,8.92,8.5,0.42
Baby Driver,7,7.2,,8.92,,7.222,,,,Baby Driver,7.59,7.6,-0.01
The Big Short,8.5,9,,8.12,,9.295,,,,The Big Short,8.73,7.8,0.93
Kung Fury,8,7.3,,9.81,9.09,,,,,Kung Fury,8.55,8,0.55
Superbad,8.5,8.2,7.2,8.49,8.88,,,,,Superbad,8.25,7.6,0.65
Casablanca,8,7.7,7.3,5.91,5.56,,,,,Casablanca,6.89,8.5,-1.61
Blade Runner,7.5,8.1,,4.92,,3.141,,,,Blade Runner,5.92,8.1,-2.18
Blade Runner 2049,9,9.3,,9.23,,,,,,Blade Runner 2049,9.18,8,1.18
The Room,1.5,2,,3.16,9.99,,,,,The Room,4.16,3.6,0.56
The Disaster Artist,7,7.3,,8.91,8.09,8.001,,,,The Disaster Artist,7.86,7.3,0.56
Megamind,7.5,7.3,7.8,7.21,,,,,,Megamind,7.45,7.3,0.15
Paul,6,4,7.1,5,,,,,,Paul,5.53,6.9,-1.38
Top Gun,7,5,,4.89,,,,,,Top Gun,5.63,6.9,-1.27
Ali,6.5,6.7,,6.41,,6.395,,,,Ali,6.50,6.7,-0.20
"Everything, Everywhere, All at Once",9.5,10,8.5,,9.15,,,,,"Everything, Everywhere, All at Once",9.29,8.3,0.99
American Psycho,8,7,4.5,9.32,,7.496,,,,American Psycho,7.26,7.6,-0.34
Shaun of the Dead,7.5,8,6.5,7.87,7.545,,,,,Shaun of the Dead,7.48,7.9,-0.42
Silence,9,7.6,6.4,6.09,,,,,,Silence,7.27,7.1,0.17
Arrival,7.5,9,8.2,7.34,,,,,,Arrival,8.01,7.9,0.11
High Noon,4,5,DNF,2.19,,,,,,High Noon,3.73,8,-4.27